id,username,name,created_at,lat,long,status
8.00638E+17,seventh_joe,Seventh JOE,11/21/2016 16:51,null,null,#MALLQITA.co #onlineshopping #onlinestore #hemat #diskon https://t.co/4mTBqDifJ7
8.00636E+17,seventh_joe,Seventh JOE,11/21/2016 16:46,null,null,#MALLQITA.co #onlineshopping #onlinestore #hemat #diskon https://t.co/VoTLB6kTHv
8.00636E+17,Hotel2Murah,Hotel Murah,11/21/2016 16:45,null,null,yuk #liburan ke #bali #hotel lagi #diskon besar2an cek harga disini https://t.co/KVSEeOmn3G  #HotelMurah https://t.co/Zuj3Mav22h
8.0063E+17,Huzoraonline,Huzora.com,11/21/2016 16:20,null,null,#Sale #HariAnakDunia #diskon #promo https://t.co/vzutkRXdfr  #huzora #followme #Indonesia #homedecoration… https://t.co/r8mKcW7lzE
8.0063E+17,Hemat_Liburan,Liburan Hemat,11/21/2016 16:19,null,null,Pesan #Hotel di #Malang via https://t.co/jMcMrSKZ7n lebih murah >>https://t.co/OqI2m66RsQ  #Penginapan #HotelMurah #Diskon
8.00629E+17,BETAHOLIDAY,Tiket & Hotel,11/21/2016 16:17,null,null,Lebih MURAH 363.000 dari Traveloka #serbapromosi #infosurabaya #tiket #diskon #bandung #garuda #kompastv #batikair https://t.co/R3p5DuoJrd
8.00629E+17,baju_kapel,Toko Baju Kapel,11/21/2016 16:16,null,null,Barcelona Couple  145rb SMS/WA:085723477888  #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/VTFaA9HKZ5
8.00627E+17,efviel,efviel,11/21/2016 16:10,null,null,Uang bukan segalanya. Masih ada Mastercard dan Visa.   Belanja online #murah #diskon aman dan terpercaya check i ##diskon #ollshop #shoping
8.00627E+17,BajuCoupleKita,Fashion Couple Baru,11/21/2016 16:10,null,null,Dress Cakram Couple  105rb SMS/WA:085723477888  #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/rykpyYFmWz
8.00627E+17,couplecoupleku,Pusat Jaket Couple,11/21/2016 16:07,null,null,Never let lp Couple  105rb SMS/WA:085723477888  #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/ePuxRkRiuT
8.00626E+17,MasAcuy,#Mas Acuy,11/21/2016 16:05,null,null,#Diskon Besar Honda Vario di Akhir Tahun https://t.co/ofT2K2ytUI
8.00626E+17,kaoscouple2015,Grosir Kaos Couple,11/21/2016 16:04,null,null,pusple merah Couple  90rb SMS/WA:085723477888  #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/pqOiMsH4lV
8.00625E+17,petra867,petra,11/21/2016 16:02,null,null,yuk #liburan ke #bali #hotel lagi #diskon besar2an cek harga disini https://t.co/h4X7YhUwbq  #HotelMurah #Travel #Penginapan
8.00625E+17,RumahCoupleID,Grosir Baju Couple,11/21/2016 16:01,null,null,mahasiswa Couple  85rb SMS/WA:085723477888  #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/Es1ehcEpKW
8.00624E+17,SopDurenLodaya,Sop Durian Lodaya,11/21/2016 15:57,null,null,Merapat guyss!!! #DISKON 50% di #CabangDipatiukur Bandung... https://t.co/UC2XsqfXj9
8.00624E+17,BajuCouple2015,Couple Jogja Lengkap,11/21/2016 15:55,null,null,Pika Couple  85rb SMS/WA:085723477888  #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/47KTH9dThw
8.00623E+17,detik_topi,TRUSTED SELLER,11/21/2016 15:52,null,null,#topi #stussy #import #snapback #baseball #topimurah #murmer #diskon #keren #swag #jual #bboy #selfie #ootd #style… https://t.co/qcnMPvBryU
8.00623E+17,BETAHOLIDAY,Tiket & Hotel,11/21/2016 15:51,null,null,Grand Inna Kuta #Bali 26 Nov =900.000 #serbapromosi #infosurabaya #tiket #diskon #bandung #garuda #kompastv… https://t.co/Qu52jFyu3O
8.00621E+17,867Evo,evo,11/21/2016 15:46,null,null,Booking Hotel lebih Murah via pegi pegi>> https://t.co/irWuVDR30t  #Hotel #diskon #Promo #Liburan #Penginapan
8.00621E+17,GilaPromoDotCom,GilaPromo,11/21/2016 15:46,null,null,#onlineonly #diskon Jakmall Promo Sprint Harbolnas - Gebrakan Diskon + Harga Special https://t.co/HWCmQunXcL
8.00621E+17,Hotel2Murah,Hotel Murah,11/21/2016 15:45,null,null,Booking Hotel lebih Murah via pegi pegi  >>https://t.co/4bbcH8AOsT  #Hotel #diskon #Liburan #Penginapan https://t.co/6E3opkzKM2
8.00621E+17,CoupleJogja,Baju Couple Lengkap,11/21/2016 15:43,null,null,nike balanciaga merah Couple  145rb SMS/WA:085723477888  #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/5niMNoHPoj
8.0062E+17,CoupleKemeja,kemeja couple,11/21/2016 15:40,null,null,Wajirk LP navi Couple  120rb SMS/WA:085723477888  #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/uMZvIRsswC
8.0062E+17,GoGoBli,GogoBli,11/21/2016 15:39,null,null,"Produk Wardah Kosmetik terlengkap hanya di Gogobli, lagi diskon #promo #diskon #special https://t.co/cbj8JTQNK8"
8.00619E+17,dyna_Indonesia,dyna Indonesia,11/21/2016 15:35,null,null,Msh ada Promo #Diskon Lazada loh utk produk Dyna sprti di bawah ini.Yuk buruan order di sini https://t.co/nbm3CnbRCE https://t.co/aYFNwv7CCh
8.00618E+17,BajuCouplePacar,Dress Couple,11/21/2016 15:34,null,null,Rudolp lp merah Couple  120rb SMS/WA:085723477888  #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/vKspqde9m2
8.00618E+17,BajuPacaran,Kaos Couple Import,11/21/2016 15:32,null,null,Baju Family Rock Coco  120rb SMS/WA:085723477888  #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/ARAGhIIpw7
8.00617E+17,MalMetropolitan,Mal Metropolitan Bks,11/21/2016 15:30,null,null,Stay Fit Keep Active dengan @SHAGA_ID #MetMal Bekasi Lt. 1 dan nikmati #diskon hingga 70% untuk alat olahraga. https://t.co/8F0ALb2Ay3
8.00617E+17,Huzoraonline,Huzora.com,11/21/2016 15:30,null,null,#kalenghias #kotakHias #flower https://t.co/Gg2livlaar #homedecoration #homeliving #huzora#olshop #followme #diskon… https://t.co/w2sB2QRTma
8.00617E+17,DressCouple,DressCoupleId,11/21/2016 15:27,null,null,Selfin Couple  145rb SMS/WA:085723477888  #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/jo4gd97dGJ
8.00613E+17,Giladiskon,Giladiskon Indonesia,11/21/2016 15:11,null,null,Jakmall Promo Sprint Harbolnas - Gebrakan Diskon + Harga Special https://t.co/yVYVfNiVH0 #diskon
8.00608E+17,tinggiinbadan1,SEHAT ALAMI,11/21/2016 14:54,null,null,"PROMO TIENS, meninggikan Badan 2-10 cm dalam 30 hari. Invit 29A2D527 sms 085642236122 #Diskon #murah"
8.00606E+17,detik_topi,TRUSTED SELLER,11/21/2016 14:43,null,null,#topi #brixton #import #snapback #baseball #topimurah #murmer #diskon #keren #swag #jual #bboy #selfie #ootd #style… https://t.co/7mgthITfKp
8.00605E+17,efviel,efviel,11/21/2016 14:40,null,null,Belanja aman dan terpercaya check it now https://t.co/jfvVR2dW4t ##diskon #ollshop #shoping
8.00601E+17,lovinasinta,lovina,11/21/2016 14:26,null,null,RT @AParayudha: Welcome to Nagoya Mansion Hotel & Residence Batam #pesonaindonesia #indonesiabanget #diskon #hotel https://t.co/CoIsSuslF5…
8.00601E+17,Travelnow6,sonya Hapsari,11/21/2016 14:25,null,null,RT @JagoPromotion: Paket Liburan dan perjalanan Bisnis yang hemat #booking via *TRAVELOKA*  #diskon #enjoy #best #batam klik disini : https…
8.006E+17,indonesiadeal,Indonesia Deal,11/21/2016 14:23,null,null,RT @LarasJ9: Prasmanan selera nusantara 65k senin-jumat jam 11.00-14.00 Resv 081363009198 #batam #enjoy #best #diskon https://t.co/97JOXYkO…
8.006E+17,indonesiadeal,Indonesia Deal,11/21/2016 14:23,null,null,RT @HalakhCreative: AGODA pasti harga terbaik dan #hotel terbaik #booking #enjoy #batam #diskon klik disini : https://t.co/lu6i5BI6Ku  http…
8.006E+17,NoBarSolo,ENJOY BATAM,11/21/2016 14:21,null,null,RT @Rubrys: #hotel di #batam #diskon #booking #nagoyamansion  alokasi strategis langsung https://t.co/QWijbW7Wgd klik : https://t.co/f0wa2G…
8.006E+17,NoBarSolo,ENJOY BATAM,11/21/2016 14:20,null,null,RT @lovinasinta: Paket Liburan dan perjalanan Bisnis yang hemat #booking via *TRAVELOKA*  #diskon #enjoy #best #batam klik disini : https:/…
8.00597E+17,efviel,efviel,11/21/2016 14:10,null,null,Promo diskon murah hanya di https://t.co/1yXuN4e98o #bukalapak ##diskon #ollshop #shoping
8.00595E+17,bec_bintaro,BEC BINTARO,11/21/2016 14:00,null,null,"""Wednesday is Community Day"" #diskon 25% main billiard bersama komunitas-mu di Breaktimebec | Info: 021-29519618 https://t.co/chPkDS6mZ7"
8.00595E+17,Huzoraonline,Huzora.com,11/21/2016 14:00,null,null,#Celengan #MiniBank #owl https://t.co/gLoctqLeyD #huzora #olshop #followme #diskon #promo #jogja #Indonesia #lucu… https://t.co/ygQDPOagOH
8.00591E+17,X_SKAsuka,Tyan X,11/21/2016 13:47,null,null,"Berbagai marchendise tipe-x ada di sini, #invit 7A2C0EE6, beli #murah #diskon"
8.00591E+17,GilaPromoDotCom,GilaPromo,11/21/2016 13:47,null,null,#diskon Air Asia Go Promo Best Hotel Sale - Diskon 60% https://t.co/0kydK9HwIH
8.00591E+17,GilaPromoDotCom,GilaPromo,11/21/2016 13:46,null,null,#diskon Air Asia Promo Santap Hemat - Beli Menu Santan Combo Meal Cuma Rp. 33.900 https://t.co/iHZuyHARsp
8.00591E+17,GilaPromoDotCom,GilaPromo,11/21/2016 13:46,null,null,#diskon Air Asia Promo Festival Jalan-Jalan - Terbang Mulai Rp. 389.000 https://t.co/cLBLshiu5G
8.00591E+17,GilaPromoDotCom,GilaPromo,11/21/2016 13:46,null,null,#diskon Wendys Restaurant Super Deal - Diskon Heboh 50% https://t.co/T4c3Yuq9oQ
8.00591E+17,GilaPromoDotCom,GilaPromo,11/21/2016 13:46,null,null,#diskon Vinoti Living Early Holiday Shopping Promo - Diskon 50% https://t.co/1dkueFYf7e
8.00591E+17,867Evo,evo,11/21/2016 13:46,null,null,Booking Hotel lebih Murah via pegi pegi   >>https://t.co/irWuVDR30t   #Hotel #diskon #Liburan #Penginapan #Travel
8.00591E+17,GilaPromoDotCom,GilaPromo,11/21/2016 13:46,null,null,#onlineonly #diskon Air Asia Go Promo Best Hotel Sale - Diskon 60% https://t.co/uJZ8iVJajt
8.00591E+17,GilaPromoDotCom,GilaPromo,11/21/2016 13:46,null,null,#onlineonly #diskon Air Asia Promo Santap Hemat - Beli Menu Santan Combo Meal Cuma Rp. 33.900 https://t.co/gcwTVZhfM5
8.00587E+17,GilaPromoDotCom,GilaPromo,11/21/2016 13:31,null,null,#diskon Air Asia Go Promo Best Hotel Sale - Diskon 60% https://t.co/VNeNSF0UcQ
8.00587E+17,GilaPromoDotCom,GilaPromo,11/21/2016 13:31,null,null,#diskon Air Asia Promo Santap Hemat - Beli Menu Santan Combo Meal Cuma Rp. 33.900 https://t.co/bt1tKaKnhK
8.00587E+17,Giladiskon,Giladiskon Indonesia,11/21/2016 13:31,null,null,#diskon #promosi Air Asia Promo Santap Hemat - Beli Menu Santan Combo Meal Cuma Rp. 33.900 https://t.co/XJSbiQ2W7j
8.00587E+17,Giladiskon,Giladiskon Indonesia,11/21/2016 13:31,null,null,#diskon #promosi Vinoti Living Early Holiday Shopping Promo - Diskon 50% https://t.co/KiuOTZbRCj
8.00587E+17,Giladiskon,Giladiskon Indonesia,11/21/2016 13:31,null,null,#diskon #promosi Air Asia Go Promo Best Hotel Sale - Diskon 60% https://t.co/r4aHg84KNu
8.00587E+17,Giladiskon,Giladiskon Indonesia,11/21/2016 13:31,null,null,#diskon #promosi Wendys Restaurant Super Deal - Diskon Heboh 50% https://t.co/sk8vqutuz4
8.00587E+17,Giladiskon,Giladiskon Indonesia,11/21/2016 13:31,null,null,#diskon #promosi Air Asia Promo Festival Jalan-Jalan - Terbang Mulai Rp. 389.000 https://t.co/hdldxTnoNZ
8.00587E+17,detik_topi,TRUSTED SELLER,11/21/2016 13:28,null,null,#topi #fox #import #snapback #baseball #topimurah #murmer #diskon #keren #swag #jual #bboy #selfie #ootd #style… https://t.co/omzOFmK7x5
8.00587E+17,SopDurenLodaya,Sop Durian Lodaya,11/21/2016 13:28,null,null,Kawula muda Pulau Dewata... Serbuuu !!!! #DISKON 30% spesial Pelajar dan Mahasiswa di #CabangDenpasar https://t.co/pYyS0P0ASd
8.00585E+17,PeninggiGrosir,Invite 7E8FBFE5,11/21/2016 13:22,null,null,"PROMO BESAR PENINGGI BADAN TIENS, order yuk, invit 29A2D527 SMS 085642236122. #Tiens #Murah #promo #diskon #sragen #s ##InfoJatim #Retweet"
8.00584E+17,GilaPromoDotCom,GilaPromo,11/21/2016 13:16,null,null,#diskon Air Asia Promo Santap Hemat - Beli Menu Santan Combo Meal Cuma Rp. 33.900 https://t.co/m5B3BYPFMm
8.00584E+17,GilaPromoDotCom,GilaPromo,11/21/2016 13:16,null,null,#diskon Air Asia Go Promo Best Hotel Sale - Diskon 60% https://t.co/WSnAAlPZ2S
8.00584E+17,GilaPromoDotCom,GilaPromo,11/21/2016 13:16,null,null,#diskon Erafone Apple iPhone 5S November Deals - Harga Spesial Mulai Rp. 3.999.000 https://t.co/uhQXbtAEj4
8.00582E+17,efviel,efviel,11/21/2016 13:10,null,null,Belanja aman dan terpercaya check it now https://t.co/p3xKPQ3tTT ##diskon #ollshop #shoping
8.00581E+17,BETAHOLIDAY,Tiket & Hotel,11/21/2016 13:07,null,null,Lebih MURAH 262.000 dari Traveloka #serbapromosi #infosurabaya #tiket #diskon #bandung #garuda #kompastv #lionair https://t.co/tweIoNo735
8.00581E+17,GilaPromoDotCom,GilaPromo,11/21/2016 13:04,null,null,#diskon Air Asia Promo Santap Hemat - Beli Menu Santan Combo Meal Cuma Rp. 33.900 https://t.co/4YEkXUQ9ud
8.00581E+17,GilaPromoDotCom,GilaPromo,11/21/2016 13:04,null,null,#diskon Air Asia Go Promo Best Hotel Sale - Diskon 60% https://t.co/Dh28LGiFva
8.0058E+17,GilaPromoDotCom,GilaPromo,11/21/2016 13:01,null,null,#diskon Erafone Apple iPhone 5S November Deals - Harga Spesial Mulai Rp. 3.999.000 https://t.co/Hqy906Se4T
8.00574E+17,DISKONBATIK,DISKON BATIK,11/21/2016 12:39,null,null,RT @GrabHotel: Sajian Kuliner Terbaik di #batam #enjoy #diskon via AGODA klik disini untuk pilihan paket hemat : https://t.co/xwpK0q2Fjp ht…
8.00572E+17,Giladiskon,Giladiskon Indonesia,11/21/2016 12:31,null,null,Air Asia Go Promo Best Hotel Sale - Diskon 60% https://t.co/mNSy6zbNla #diskon
8.00572E+17,Giladiskon,Giladiskon Indonesia,11/21/2016 12:30,null,null,Air Asia Promo Santap Hemat - Beli Menu Santan Combo Meal Cuma Rp. 33.900 https://t.co/8jy85KNR64 #diskon
