"id"	"username"	"name"	"created_at"	"lat"	"long"	"status"
"800637865122271232"	"seventh_joe"	"Seventh JOE"	"2016-11-21 16:51:56"	"null"	"null"	"#MALLQITA.co #onlineshopping #onlinestore #hemat #diskon https://t.co/4mTBqDifJ7"
"800636496894185472"	"seventh_joe"	"Seventh JOE"	"2016-11-21 16:46:30"	"null"	"null"	"#MALLQITA.co #onlineshopping #onlinestore #hemat #diskon https://t.co/VoTLB6kTHv"
"800636225384132610"	"Hotel2Murah"	"Hotel Murah"	"2016-11-21 16:45:25"	"null"	"null"	"yuk #liburan ke #bali #hotel lagi #diskon besar2an cek harga disini https://t.co/KVSEeOmn3G  #HotelMurah https://t.co/Zuj3Mav22h"
"800629858908983300"	"Huzoraonline"	"Huzora.com"	"2016-11-21 16:20:08"	"null"	"null"	"#Sale #HariAnakDunia #diskon #promo https://t.co/vzutkRXdfr  #huzora #followme #Indonesia #homedecoration… https://t.co/r8mKcW7lzE"
"800629799630737408"	"Hemat_Liburan"	"Liburan Hemat"	"2016-11-21 16:19:53"	"null"	"null"	"Pesan #Hotel di #Malang via https://t.co/jMcMrSKZ7n lebih murah >>https://t.co/OqI2m66RsQ  #Penginapan #HotelMurah #Diskon"
"800629248276852736"	"BETAHOLIDAY"	"Tiket & Hotel"	"2016-11-21 16:17:42"	"null"	"null"	"Lebih MURAH 363.000 dari Traveloka #serbapromosi #infosurabaya #tiket #diskon #bandung #garuda #kompastv #batikair https://t.co/R3p5DuoJrd"
"800628828598996992"	"baju_kapel"	"Toko Baju Kapel"	"2016-11-21 16:16:02"	"null"	"null"	"Barcelona Couple  145rb SMS/WA:085723477888  #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/VTFaA9HKZ5"
"800627391101997057"	"efviel"	"efviel"	"2016-11-21 16:10:19"	"null"	"null"	"Uang bukan segalanya. Masih ada Mastercard dan Visa.   Belanja online #murah #diskon aman dan terpercaya check i ##diskon #ollshop #shoping"
"800627359502077952"	"BajuCoupleKita"	"Fashion Couple Baru"	"2016-11-21 16:10:12"	"null"	"null"	"Dress Cakram Couple  105rb SMS/WA:085723477888  #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/rykpyYFmWz"
"800626731765809152"	"couplecoupleku"	"Pusat Jaket Couple"	"2016-11-21 16:07:42"	"null"	"null"	"Never let lp Couple  105rb SMS/WA:085723477888  #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/ePuxRkRiuT"
"800626118827114496"	"MasAcuy"	"#Mas Acuy"	"2016-11-21 16:05:16"	"null"	"null"	"#Diskon Besar Honda Vario di Akhir Tahun https://t.co/ofT2K2ytUI"
"800625902719668230"	"kaoscouple2015"	"Grosir Kaos Couple"	"2016-11-21 16:04:24"	"null"	"null"	"pusple merah Couple  90rb SMS/WA:085723477888  #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/pqOiMsH4lV"
"800625497059143685"	"petra867"	"petra"	"2016-11-21 16:02:48"	"null"	"null"	"yuk #liburan ke #bali #hotel lagi #diskon besar2an cek harga disini https://t.co/h4X7YhUwbq  #HotelMurah #Travel #Penginapan"
"800625255957921792"	"RumahCoupleID"	"Grosir Baju Couple"	"2016-11-21 16:01:50"	"null"	"null"	"mahasiswa Couple  85rb SMS/WA:085723477888  #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/Es1ehcEpKW"
"800624215388864512"	"SopDurenLodaya"	"Sop Durian Lodaya"	"2016-11-21 15:57:42"	"null"	"null"	"Merapat guyss!!! #DISKON 50% di #CabangDipatiukur Bandung... https://t.co/UC2XsqfXj9"
"800623582892027906"	"BajuCouple2015"	"Couple Jogja Lengkap"	"2016-11-21 15:55:11"	"null"	"null"	"Pika Couple  85rb SMS/WA:085723477888  #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/47KTH9dThw"
"800622830123565056"	"detik_topi"	"TRUSTED SELLER"	"2016-11-21 15:52:12"	"null"	"null"	"#topi #stussy #import #snapback #baseball #topimurah #murmer #diskon #keren #swag #jual #bboy #selfie #ootd #style… https://t.co/qcnMPvBryU"
"800622547389661184"	"BETAHOLIDAY"	"Tiket & Hotel"	"2016-11-21 15:51:04"	"null"	"null"	"Grand Inna Kuta #Bali 26 Nov =900.000 #serbapromosi #infosurabaya #tiket #diskon #bandung #garuda #kompastv… https://t.co/Qu52jFyu3O"
"800621379695493120"	"867Evo"	"evo"	"2016-11-21 15:46:26"	"null"	"null"	"Booking Hotel lebih Murah via pegi pegi>> https://t.co/irWuVDR30t  #Hotel #diskon #Promo #Liburan #Penginapan"
"800621362440179712"	"GilaPromoDotCom"	"GilaPromo"	"2016-11-21 15:46:22"	"null"	"null"	"#onlineonly #diskon Jakmall Promo Sprint Harbolnas - Gebrakan Diskon + Harga Special https://t.co/HWCmQunXcL"
"800621124056821760"	"Hotel2Murah"	"Hotel Murah"	"2016-11-21 15:45:25"	"null"	"null"	"Booking Hotel lebih Murah via pegi pegi  >>https://t.co/4bbcH8AOsT  #Hotel #diskon #Liburan #Penginapan https://t.co/6E3opkzKM2"
"800620702864789504"	"CoupleJogja"	"Baju Couple Lengkap"	"2016-11-21 15:43:45"	"null"	"null"	"nike balanciaga merah Couple  145rb SMS/WA:085723477888  #diskon #murahbanget #reseller #terbaru #lengkap https://t.co/5niMNoHPoj"
