"id"	"username"	"name"	"created_at"	"lat"	"long"	"status"
"800642686302552064"	"ridoman_silo"	"Alfrido Manihuruk"	"2016-11-21 17:11:06"	"null"	"null"	"Dua Motor Sport Yamaha dapat Diskon Jelang Akhir Tahun https://t.co/V1qZQVIPal #Teamfollowback #FollowMe #11"
"800642478454042624"	"Giladiskon"	"Giladiskon Indonesia"	"2016-11-21 17:10:16"	"null"	"null"	"Peralatan Rumah & Dapur SUPER SALE, Diskon hingga 90%,Info--> https://t.co/rAzQGH6ucr"
"800642475110977536"	"katalogpromosi"	"katalogpromosi"	"2016-11-21 17:10:15"	"null"	"null"	"ETUDE House Diskon 20% All Items* dengan Kartu Kredit BCA https://t.co/hs9OsFSlRc"
"800642474033246208"	"katalogpromosi"	"katalogpromosi"	"2016-11-21 17:10:15"	"null"	"null"	"GARUDA INDONESIA Promo Diskon hingga 25% Kartu BRI berlaku sd. 15 Desember 2016 https://t.co/nDsA8nz62q"
"800642464054841345"	"efviel"	"efviel"	"2016-11-21 17:10:13"	"null"	"null"	"Belanja online #murah #diskon aman dan terpercaya check it now https://t.co/3XnHHYvxzk ##diskon #ollshop #shoping"
"800642051071086594"	"qurrotaayun88"	"Qurrota A'yun"	"2016-11-21 17:08:34"	"null"	"null"	"RT @YouthZone46: Diskon 10% khusus buku terbitan Kompas Gramedia dengan Kartu BNI #BNIPromo Info : https://t.co/JkNECWKDwG https://t.co/AGz…"
"800641690772062212"	"Facebook_Kita"	"Facebook Kita"	"2016-11-21 17:07:08"	"null"	"null"	"https://t.co/6ql6c1X30l Dua Motor Sport Yamaha dapat Diskon Jelang Akhir Tahun: Diskon Rp2 juta… https://t.co/VlHZPpAgrJ"
"800641690084089858"	"Facebook_Kita"	"Facebook Kita"	"2016-11-21 17:07:08"	"null"	"null"	"https://t.co/6ql6c1FrBL Diskon Besar Honda Vario di Akhir Tahun: Besaran diskon bervariasi… https://t.co/Txb1dhgm1X"
"800641689232740352"	"Facebook_Kita"	"Facebook Kita"	"2016-11-21 17:07:08"	"null"	"null"	"https://t.co/6ql6c1X30l Honda Motor Mulai Umbar Diskon Akhir Tahun: Semua Beat, pokoknya… https://t.co/Ten7BYJmkR"
"800641621935067137"	"baracahya"	"bara cahya nugroho"	"2016-11-21 17:06:52"	"null"	"null"	"Udah tau belum kalo abwa member card coffee shop mana pun ke @YellowTruckCo dapet diskon 20%? https://t.co/yCH5XuIm97"
