username	name	status	ya/tidak
ridoman_silo	Alfrido Manihuruk	Dua Motor Sport Yamaha dapat Diskon Jelang Akhir Tahun https://t.co/V1qZQVIPal #Teamfollowback #FollowMe #11	ya
Giladiskon	Giladiskon Indonesia	"Peralatan Rumah & Dapur SUPER SALE, Diskon hingga 90%,Info--> https://t.co/rAzQGH6ucr"	ya
katalogpromosi	katalogpromosi	ETUDE House Diskon 20% All Items* dengan Kartu Kredit BCA https://t.co/hs9OsFSlRc	ya
katalogpromosi	katalogpromosi	GARUDA INDONESIA Promo Diskon hingga 25% Kartu BRI berlaku sd. 15 Desember 2016 https://t.co/nDsA8nz62q	ya
efviel	efviel	Belanja online #murah #diskon aman dan terpercaya check it now https://t.co/3XnHHYvxzk ##diskon #ollshop #shoping	tidak
Facebook_Kita	Facebook Kita	https://t.co/6ql6c1FrBL Diskon Besar Honda Vario di Akhir Tahun: Besaran diskon bervariasiâ€¦ https://t.co/Txb1dhgm1X	ya
Facebook_Kita	Facebook Kita	"https://t.co/6ql6c1X30l Honda Motor Mulai Umbar Diskon Akhir Tahun: Semua Beat, pokoknyaâ€¦ https://t.co/Ten7BYJmkR"	ya
baracahya	bara cahya nugroho	Udah tau belum kalo abwa member card coffee shop mana pun ke @YellowTruckCo dapet diskon 20%? https://t.co/yCH5XuIm97	ya
MalumRini	Rini Malum Tania	RT @atmprima: Flash Sale @LazadaID diskon besar-besaran untuk ratusan produk keren! Praktis lagi bayarnya di ATM BCA #tipsPRIMA	ya
denyjackrose	Deny Jackrose	Diskon 90% untuk Semua Produk di https://t.co/VjrW8xvdUK ambil kupon disini https://t.co/uYRRKfNjRm	ya
AlqolamID	Al Qolam Official	daftar sebagai reseller kami https://t.co/36iYgWgAib dapatkan diskon 10% untuk semua produk dimulai dari pembelian pertama!!	tidak
ozradiobandung	OZ RADIO 103.1 FM	Download & Register @Uber_IDN SEKARANG! Dapatkan diskon 50% di perjalanan pertama! Gunakan kode promo: OZRADIOBDG https://t.co/nOtrJoD24Y	ya
_vrggt_	ALGK	RT @TCASH_ID: Gimana hari Senin kamu? Ngopi dulu yuk! #pakeTCASH kamu di Coffee Bean buat dapetin diskon 50% setiap Senin. https://t.co/Eusâ€¦	ya
LadyZwolf	Twelvi Febrina	"Banyak temen yg ga percaya gue masih belanja di pasar, tapi gue masih belanja di pasar. Kramatjati atau Senen. Naik Gojek. Pake Gopay diskon"	tidak
SomiJeonq	Somi	ADA DISKON 70%!!! somi be likeðŸ‘‡ðŸ‘‡ðŸ‘‡ https://t.co/EANXXJj3Fs	ya
theo_dome	DON'T ONANI	Silahkan masih anget cimol dan kentang goreng buat anak koruptor diskon 50 % @ Apartemen Cityâ€¦ https://t.co/yi5xKsKMYQ	tidak
FoodCentrumID	FoodCentrum	yang Masihh bisa di PESAN kesayangannnn semua ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜˜ðŸ˜˜ðŸ˜˜ðŸ˜˜ðŸ’“ðŸ’“ðŸ’“ðŸ’•ðŸ’•ðŸ’•ðŸ’•ðŸ’•ðŸ’• Beli Banyakk DISKON lohhhh ðŸ’‹ðŸ’‹ðŸ’‹ Bnayak Bonusssss jugaa ðŸ˜—ðŸ˜—ðŸ˜—	ya
cellworldbali	Cellular World	Big Surprise Special Black Friday Promo Hanya di Cellular World tgl 25-27 November 2016. . Diskon up to 50%... https://t.co/rHNN7UUDlx	ya
GilaPromoDotCom	GilaPromo	#diskon Jakmall Promo Sprint Harbolnas - Gebrakan Diskon + Harga Special https://t.co/i9Q69ktWlJ	tidak
littlesushiya	little sushiya	"RT @sushi_ya: Sushi Gangs, tinggal 9 hari lagi loh promo Student ID Discount! Jangan lupa ya siapkan student ID kamu dan dapetin diskon 15%â€¦"	ya
Citra_Gran	CitraGran	KAVLING BLOK AA07/51 LUAS TANAH 212METER DISKON 20% @ CitraGran Cibubur. Kavling Siap Huni Investasi Sekarang.... https://t.co/ZRTRQ3ACKY	ya
katalogpromosi	katalogpromosi	"https://t.co/uI1ctnpOJr Promo Disc Hotel 30%, Tix Pesawat s/d Rp.100.000 & Tix Kereta Api Rp.25.000 dgn CC OCBC NISP https://t.co/ej81ttj4XZ"	ya
babyzaniaID	Babyzania.com	Diskon 35% untuk pembelian Baby Parcel Cribcot. Harga mulai dari Rp 427.700. Cek selengkapnya diâ€¦ https://t.co/vLr3Z5TeMl	ya
oshoptv	OSHOP TV	YEAR END SALE! Kapan lagi Bunda bisa beli produk-produk berkualitas dengan diskon hingga 73%+23%? #YESOSHOPâ€¦ https://t.co/JrgKYG9TwJ	ya
LawsonIndonesia	Lawson Indonesia	Mau ngemil? waktunya memilih varian Oden kesukaan kamu di Lawson. ^^ Karena khusus bulan ini ada Diskon Rp 2.000 diâ€¦ https://t.co/GLQmHlqMUD	ya
rumahmadani	Rumah Madani	"Diskon 10% Gamis Syar'i Folia Terbaru Didesain khusus sesuai dengan kebutuhan muslimah, tetap nyaman dan sesuai... https://t.co/DwJ3ebEzly"	ya
blanjacom	blanja.com	"Khusus pemegang Debit BTN Online, dapatkan DISKON 25% ALL PRODUCT! Masukkan kode BTN25 di sini >>â€¦ https://t.co/WqI9ffQNQ3"	ya
atmprima	Jaringan ATM PRIMA	Flash Sale @LazadaID diskon besar-besaran untuk ratusan produk keren! Praktis lagi bayarnya di ATM BCA #tipsPRIMA	ya
hardrockfmbdg	87.7 HardRock FM Bdg	"Mau Domain, Hosting, Cloud VPS, atau Dedicated Server? Di @Qwordsdotcom semuanya DISKON! Pesan sekarangâ€¦ https://t.co/j3MlcAaMtd"	ya
naskarwiro	NasiBakarWirobrajan	DISKON 20% untuk kalian semua jam 11.00-17.00 Tanpa syarat apapun :) https://t.co/q09pZEZzp4	ya
LazadaID	Lazada.co.id	Dapatkan berbagai perlengkapan dapur dari Oxone dengan diskon hingga 70% di #LazadaID https://t.co/p0v9sKmAUXâ€¦ https://t.co/tPtV2IERUu	ya
TCASH_ID	Telkomsel TCASH	Gimana hari Senin kamu? Ngopi dulu yuk! #pakeTCASH kamu di Coffee Bean buat dapetin diskon 50% setiap Senin. https://t.co/Eusvkuy8AT	ya
chamidiyah	chusnul chamidiyah	Hay hay hay.... Diskon GG hari terakhir yaaa Kapan lagi coba dapet diskon 20% dr GG tanpa minimal order???... https://t.co/1sBfnRhRWI	ya
Nrossalina	Novianti Rossalina	Promosi paling gampang adalah dg diskon harga @indonesia_next #indonesianext2016 #bikinindonesiakeren	tidak
zulfarhakim90	Zulfar Hakim	"Promo terbaru November 2016 = =. Kredit Motor Yamaha Vixion KS Advance Diskon 2 Juta, atau bayar DP mulai"	ya
Jennierapgrl	Jennieê¹€â€¢FOLLBACK	@rlhaneulina_ diskon brp persen buat bln ini?? /?	tidak
