username	name	status	ya/tidak	kategori
ridoman_silo	Alfrido Manihuruk	Dua Motor Sport Yamaha dapat Diskon Jelang Akhir Tahun https://t.co/V1qZQVIPal #Teamfollowback #FollowMe #11	ya	otomotif
Giladiskon	Giladiskon Indonesia	"Peralatan Rumah & Dapur SUPER SALE, Diskon hingga 90%,Info--> https://t.co/rAzQGH6ucr"	ya	rumah tangga
katalogpromosi	katalogpromosi	ETUDE House Diskon 20% All Items* dengan Kartu Kredit BCA https://t.co/hs9OsFSlRc	ya	kecantikan
katalogpromosi	katalogpromosi	GARUDA INDONESIA Promo Diskon hingga 25% Kartu BRI berlaku sd. 15 Desember 2016 https://t.co/nDsA8nz62q	ya	travel
efviel	efviel	Belanja online #murah #diskon aman dan terpercaya check it now https://t.co/3XnHHYvxzk ##diskon #ollshop #shoping	ya	
Facebook_Kita	Facebook Kita	https://t.co/6ql6c1FrBL Diskon Besar Honda Vario di Akhir Tahun: Besaran diskon bervariasiâ€¦ https://t.co/Txb1dhgm1X	ya	otomotif
Facebook_Kita	Facebook Kita	"https://t.co/6ql6c1X30l Honda Motor Mulai Umbar Diskon Akhir Tahun: Semua Beat, pokoknyaâ€¦ https://t.co/Ten7BYJmkR"	ya	otomotif
baracahya	bara cahya nugroho	Udah tau belum kalo abwa member card coffee shop mana pun ke @YellowTruckCo dapet diskon 20%? https://t.co/yCH5XuIm97	ya	kuliner
MalumRini	Rini Malum Tania	RT @atmprima: Flash Sale @LazadaID diskon besar-besaran untuk ratusan produk keren! Praktis lagi bayarnya di ATM BCA #tipsPRIMA	ya	lain-lain
denyjackrose	Deny Jackrose	Diskon 90% untuk Semua Produk di https://t.co/VjrW8xvdUK ambil kupon disini https://t.co/uYRRKfNjRm	ya	lain-lain
AlqolamID	Al Qolam Official	daftar sebagai reseller kami https://t.co/36iYgWgAib dapatkan diskon 10% untuk semua produk dimulai dari pembelian pertama!!	tidak	
ozradiobandung	OZ RADIO 103.1 FM	Download & Register @Uber_IDN SEKARANG! Dapatkan diskon 50% di perjalanan pertama! Gunakan kode promo: OZRADIOBDG https://t.co/nOtrJoD24Y	ya	travel
_vrggt_	ALGK	RT @TCASH_ID: Gimana hari Senin kamu? Ngopi dulu yuk! #pakeTCASH kamu di Coffee Bean buat dapetin diskon 50% setiap Senin. https://t.co/Eusâ€¦	ya	kuliner
LadyZwolf	Twelvi Febrina	"Banyak temen yg ga percaya gue masih belanja di pasar, tapi gue masih belanja di pasar. Kramatjati atau Senen. Naik Gojek. Pake Gopay diskon"	tidak	
SomiJeonq	Somi	ADA DISKON 70%!!! somi be likeðŸ‘‡ðŸ‘‡ðŸ‘‡ https://t.co/EANXXJj3Fs	ya	
theo_dome	DON'T ONANI	Silahkan masih anget cimol dan kentang goreng buat anak koruptor diskon 50 % @ Apartemen Cityâ€¦ https://t.co/yi5xKsKMYQ	tidak	
FoodCentrumID	FoodCentrum	yang Masihh bisa di PESAN kesayangannnn semua ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜˜ðŸ˜˜ðŸ˜˜ðŸ˜˜ðŸ’“ðŸ’“ðŸ’“ðŸ’•ðŸ’•ðŸ’•ðŸ’•ðŸ’•ðŸ’• Beli Banyakk DISKON lohhhh ðŸ’‹ðŸ’‹ðŸ’‹ Bnayak Bonusssss jugaa ðŸ˜—ðŸ˜—ðŸ˜—	ya	kuliner
cellworldbali	Cellular World	Big Surprise Special Black Friday Promo Hanya di Cellular World tgl 25-27 November 2016. . Diskon up to 50%... https://t.co/rHNN7UUDlx	ya	elektronik
GilaPromoDotCom	GilaPromo	#diskon Jakmall Promo Sprint Harbolnas - Gebrakan Diskon + Harga Special https://t.co/i9Q69ktWlJ	ya	
littlesushiya	little sushiya	"RT @sushi_ya: Sushi Gangs, tinggal 9 hari lagi loh promo Student ID Discount! Jangan lupa ya siapkan student ID kamu dan dapetin diskon 15%â€¦"	ya	kuliner
Citra_Gran	CitraGran	KAVLING BLOK AA07/51 LUAS TANAH 212METER DISKON 20% @ CitraGran Cibubur. Kavling Siap Huni Investasi Sekarang.... https://t.co/ZRTRQ3ACKY	ya	properti
katalogpromosi	katalogpromosi	"https://t.co/uI1ctnpOJr Promo Disc Hotel 30%, Tix Pesawat s/d Rp.100.000 & Tix Kereta Api Rp.25.000 dgn CC OCBC NISP https://t.co/ej81ttj4XZ"	ya	wisata
frenchie_id	Frenchie	"RT @sushi_ya: Sushi Gangs, tinggal 9 hari lagi loh promo Student ID Discount! Jangan lupa ya siapkan student ID kamu dan dapetin diskon 15%â€¦"	ya	kuliner
babyzaniaID	Babyzania.com	Diskon 35% untuk pembelian Baby Parcel Cribcot. Harga mulai dari Rp 427.700. Cek selengkapnya diâ€¦ https://t.co/vLr3Z5TeMl	ya	rumah tangga
oshoptv	OSHOP TV	YEAR END SALE! Kapan lagi Bunda bisa beli produk-produk berkualitas dengan diskon hingga 73%+23%? #YESOSHOPâ€¦ https://t.co/JrgKYG9TwJ	ya	rumah tangga
LawsonIndonesia	Lawson Indonesia	Mau ngemil? waktunya memilih varian Oden kesukaan kamu di Lawson. ^^ Karena khusus bulan ini ada Diskon Rp 2.000 diâ€¦ https://t.co/GLQmHlqMUD	ya	kuliner
rumahmadani	Rumah Madani	"Diskon 10% Gamis Syar'i Folia Terbaru Didesain khusus sesuai dengan kebutuhan muslimah, tetap nyaman dan sesuai... https://t.co/DwJ3ebEzly"	ya	fashion
blanjacom	blanja.com	"Khusus pemegang Debit BTN Online, dapatkan DISKON 25% ALL PRODUCT! Masukkan kode BTN25 di sini >>â€¦ https://t.co/WqI9ffQNQ3"	ya	lain-lain
atmprima	Jaringan ATM PRIMA	Flash Sale @LazadaID diskon besar-besaran untuk ratusan produk keren! Praktis lagi bayarnya di ATM BCA #tipsPRIMA	ya	lain-lain
hardrockfmbdg	87.7 HardRock FM Bdg	"Mau Domain, Hosting, Cloud VPS, atau Dedicated Server? Di @Qwordsdotcom semuanya DISKON! Pesan sekarangâ€¦ https://t.co/j3MlcAaMtd"	ya	lain-lain
naskarwiro	NasiBakarWirobrajan	DISKON 20% untuk kalian semua jam 11.00-17.00 Tanpa syarat apapun :) https://t.co/q09pZEZzp4	ya	kuliner
LazadaID	Lazada.co.id	Dapatkan berbagai perlengkapan dapur dari Oxone dengan diskon hingga 70% di #LazadaID https://t.co/p0v9sKmAUXâ€¦ https://t.co/tPtV2IERUu	ya	rumah tangga
TCASH_ID	Telkomsel TCASH	Gimana hari Senin kamu? Ngopi dulu yuk! #pakeTCASH kamu di Coffee Bean buat dapetin diskon 50% setiap Senin. https://t.co/Eusvkuy8AT	ya	kuliner
chamidiyah	chusnul chamidiyah	Hay hay hay.... Diskon GG hari terakhir yaaa Kapan lagi coba dapet diskon 20% dr GG tanpa minimal order???... https://t.co/1sBfnRhRWI	ya	lain-lain
Nrossalina	Novianti Rossalina	Promosi paling gampang adalah dg diskon harga @indonesia_next #indonesianext2016 #bikinindonesiakeren	tidak	
zulfarhakim90	Zulfar Hakim	"Promo terbaru November 2016 = =. Kredit Motor Yamaha Vixion KS Advance Diskon 2 Juta, atau bayar DP mulai"	ya	otomotif
Jennierapgrl	Jennieê¹€â€¢FOLLBACK	@rlhaneulina_ diskon brp persen buat bln ini?? /?	tidak	
amelliaaptri	ameliaptr.	"RT @Bellanahs: Coba aja, mana ada cewek yang bisa sebentar kalo belanja. Apalagi ada diskon."	tidak	
NarutoFamily2	Naruto Family	"#Sports FOTO: Promo November, Rockpot MaRI Beri Diskon Hingga 70 Persen https://t.co/k8XhgkOXxk #Assadiqulhaq"	ya	lain-lain
NarutoFamily2	Naruto Family	"#NewsMakassar FOTO: Promo November, Rockpot MaRI Beri Diskon Hingga 70 Persen https://t.co/lca9eAo3OI #Assadiqulhaq"	ya	lain-lain
CitilinkTicket	Citilink Agent	"Travel Fair On-line Dimulai, Diskon Hingga 70 Persen - Tempo https://t.co/4N3Anecf8Y #travel"	ya	wisata
luarkampung	pemburu	@penerbitkpg diskon khusus pelajar dong	tidak	
katalogpromosi	katalogpromosi	GARUDA INDONESIA Promo Diskon hingga 25% + Cicilan 0% selama 3 bulan dengan KARTU KREDIT HSBC https://t.co/yRVnG2AM3G	ya	travel
toserbayogyaYBS	YOGYA BOJONGSOANG	Jangan ngaku pencinta apel dan pear kalo belum ngeborong promo seru yang satu ini ðŸ™Œ diskon 15%â€¦ https://t.co/MXWYDfHZtO	ya	kuliner
millymillea	Millea	Ditambah diskon 21% semua item di @lemarisimilly. Hanya hari ini. 21 November. Dalam rangka apa? Pengin aja â˜º #21november #november21	ya	lain-lain
VerraViandra	Verra Viandra	Diskon 50 Persen Paket Servis Lengkap Untuk Guru https://t.co/HNCEITrlq5 https://t.co/WBc6cYDKLH	ya	lain-lain
kmjjisoo	J. S O O	@rlhaneulina_ aku mah beda kalo ada yg diskon malah biasa aja :(	tidak	
daviflorist	Bunga Davi	Dapatkan harga spesial + diskon 5% untuk setiap order bunga papan Congrate atau Condolence di #bungadaviflorist Info:https://t.co/Z0CYjafH8I	ya	lain-lain
Giladiskon	Giladiskon Indonesia	"SUPER SaleÂ @MatahariMallComÂ Â Diskon hingga 82%,Info--> Â https://t.co/s0hoWp80XG"	ya	lain-lain
katalogpromosi	katalogpromosi	https://t.co/O5wxNuBkTu Promo Tambahan Diskon Hotel 10% dengan Kartu Kredit BCA https://t.co/sBsnauFvbv	ya	wisata
tineyo11	ðŸ™ Yulia Zeekwa ðŸ™	RT @waxhaus: Dapatkan diskon 10% untuk kamu pemilik member Tunas Group. https://t.co/x3PWi7Bv3M #WaxWithBenefit https://t.co/BSERBBhK7j	ya	kecantikan
1124whitefaith	Lydia Wang ì™•í˜„ìƒ	@indotix ada number seatnya kak? Blm ada promo diskon tiket ya? Hohoho...	tidak	
binjaisupermall	Binjai Supermall	Diskon 30% semua produk di @LesFemmesBags Binjai Supermall tanggal 25 November 2016 pukul 18.00 - 20.00 WIB https://t.co/Nw37U1Gi4A	ya	fashion
hendryjade	hendryjade	Pengen ke Snowbay dapat diskon 40% pakai Kartu Debit BNI. #BNITaplus https://t.co/KyeVKbfaUn	ya	wisata
kelincisawah	Petani Awan	"eehhhh udah mau desember lagi, mau pasang baliho ah, fotonya saya, dibawahnya pake tulisan ""DISKON AKHIR TAHUN"", pasang di pintu tol pasteur"	tidak	
seventh_joe	Seventh JOE	#MALLQITA.co #onlineshopping #onlinestore #hemat #diskon https://t.co/VoTLB6kTHv	ya	lain-lain
Hotel2Murah	Hotel Murah	yuk #liburan ke #bali #hotel lagi #diskon besar2an cek harga disini https://t.co/KVSEeOmn3G #HotelMurah https://t.co/Zuj3Mav22h	ya	wisata
LOGOJEANS	LOGO Jeans	Bosan pakai Jeans terus? Coba pakai Cullote yuk! Skrg lagi DISKON 20% loh! Cek koleksinya disini >>â€¦ https://t.co/EvMKo1hvib	ya	fashion
katalogpromosi	katalogpromosi	"AirAsiaGo Promo Tambahan Diskon Rp.175.000,- dengan Kartu Kredit BCA https://t.co/driDaDiKqe"	ya	wisata
IndonesiaGaruda	Garuda Indonesia	@anthontrip Saat ini sudah tersedia promo diskon 25% utk redemption ticket dgn pemesanan s.d 3 Desember 2016. Tks - Harry	ya	wisata
GudangJaya	Gudangjaya.com	"Toko Ac Elektronik Depok,Diskon Setiap Hari,Jual Ac,Kulkas,Mesin cuci,Led tv Terbaru,Bergaransi Resmi Pabrik. https://t.co/g0jezG5SSY"	ya	elektronik
ayowangi_parfum	PARFUMFM	"parfum merk Emporio Armani City Glam Him - Lacoste Challenge sedang diskon 100ml 4 jt,di fm hanya 250.000 pin:225019A4 @banteniklan"	ya	kecantikan
gheasafferina	ghea safferina	"Siap-siap banjir diskon, yeaaay! https://t.co/dIiN00AAoV juga bakal berpartisipasi loh :) https://t.co/7LTjREmIdG"	tidak	
nikitayap	nikita yaphet	@eleveniacare bbrp bln lalu saya beli voucher mokado diskon soursally.. tp waktu mau di pake ket dr soursally voucer ga bs di pake gmn ya?	tidak	
NnoerRch	NnoerRch	"RT @InfoSuperIndo: Menyambut Hari Ikan Nasional, yuk dptkan diskon 20% untuk aneka ikan super segar di Super Indo. Bisa langsung dibakar/ dâ€¦"	ya	kuliner
arfandywinardy	Arfandy Winardy	ðŸ¤—Diskon Hotel Santika & Amaris Group ðŸ˜ Booking Lebih Hemat di CK Travel -Amaris Hotelâ€¦ https://t.co/DgrzN7DuM5	ya	wisata
adhyt_is_adhyt	adhyt	@TransStudioBdng Min.. Harga tiket anak-anak weekdays brp? Berlaku jg gak diskon 50%	tidak	
cippy_85	cippy cip	diskon lg.. https://t.co/OrtD45V4j1	tidak	
apinxkjej_	jiay	"@blqckhole 14, 15, 34 Tuh di diskon"	tidak	
katalogpromosi	katalogpromosi	KFC Diskon Rp 10.000 untuk Paket Hot and Cheesy Chicken atau Super Besar dengan TELKOMSEL TCASH https://t.co/WTwO09oH32	ya	kuliner
Hilman	Tirai Bambu	"RT @pecel2u: Secara psikologi, diskon hunter akan milih ini daripada yg angka bulat. Karena masih sering terbukti, beli kt4 lain hanya bedaâ€¦"	tidak	
mutia_ratna	Mutia Ratna	"uhuy produk baru di bulan November iniiii diskon 30% yuuk cc : Mutia Ratna, Mutia Ratna II https://t.co/QpsIi7stcS"	ya	lain-lain
khanbinIkon	Hanbin	smartfrencare: KhanzaAulia11 Untuk penawaran berupa diskon khusus bagi Pelanggan kami yang masih menggunakan perangkat CDMA berbeda-beda (1â€¦	ya	lain-lain
YogrtID	Yogrt	masih ada sedikit lagi ! Voucher 50% diskon untuk belanja tanpa minimum pembelian. Download Yogrt diâ€¦ https://t.co/UH36G20fSA	ya	lain-lain
Zalazora	Rizal	@RobotPuisi untuk apa? banjir diskon dimana-mana	tidak	
MalRatuIndah	Mal Ratu Indah	LES FEMMES FLASH SALE!! Dapatkan diskon 30% untuk semua produk Les Femmes favorit kamu! Promoâ€¦ https://t.co/zfw1TQB4ie	ya	fashion
Giladiskon	Giladiskon Indonesia	"Super Nike Clearance SALE, Diskon hingga 70%,Info-->Â https://t.co/vJxjIJ4pHf"	ya	fashion
katalogpromosi	katalogpromosi	BAKMI GM Diskon 20% dengan TELKOMSEL TCASH berlaku sd. 31 Desember 2016 https://t.co/2KUiIdLobG	ya	kuliner
katalogpromosi	katalogpromosi	"Cold Stone Creamery Promo Harga Spesial Rp 1,- untuk 1 cup ice cream* atau diskon 40% dengan Kartu Debit BNI https://t.co/uwLcjUFLSY"	ya	kuliner
waxhaus	waxhaus	Dapatkan diskon 10% untuk kamu pemilik member Tunas Group. https://t.co/x3PWi7Bv3M #WaxWithBenefit https://t.co/BSERBBhK7j	ya	lain-lain
arenatiket	arenatiket	Diskon tanpa perlu menggunakan kode promo dan tanpa syarat. Dapatkan harga tiket @Citilink dan @IndonesiaGaruda denâ€¦ https://t.co/mtdqYUy8Zs	ya	wisata
Idcloudhostcom	IDCloudHost	Diskon 30% pembelian Hosting di IDCloudHost Stock Terbatas - Promo Hingga 30 November 2016 https://t.co/0DWHCm5rIR https://t.co/P4yUrc842V	ya	lain-lain
