username	name	status	kategori
ridoman_silo	Alfrido Manihuruk	Dua Motor Sport Yamaha dapat Diskon Jelang Akhir Tahun https://t.co/V1qZQVIPal #Teamfollowback #FollowMe #11	otomotif
Giladiskon	Giladiskon Indonesia	"Peralatan Rumah & Dapur SUPER SALE, Diskon hingga 90%,Info--> https://t.co/rAzQGH6ucr"	rumah tangga
katalogpromosi	katalogpromosi	ETUDE House Diskon 20% All Items* dengan Kartu Kredit BCA https://t.co/hs9OsFSlRc	kecantikan
katalogpromosi	katalogpromosi	GARUDA INDONESIA Promo Diskon hingga 25% Kartu BRI berlaku sd. 15 Desember 2016 https://t.co/nDsA8nz62q	travel
efviel	efviel	Belanja online #murah #diskon aman dan terpercaya check it now https://t.co/3XnHHYvxzk ##diskon #ollshop #shoping	
Facebook_Kita	Facebook Kita	https://t.co/6ql6c1FrBL Diskon Besar Honda Vario di Akhir Tahun: Besaran diskon bervariasiâ€¦ https://t.co/Txb1dhgm1X	otomotif
Facebook_Kita	Facebook Kita	"https://t.co/6ql6c1X30l Honda Motor Mulai Umbar Diskon Akhir Tahun: Semua Beat, pokoknyaâ€¦ https://t.co/Ten7BYJmkR"	otomotif
baracahya	bara cahya nugroho	Udah tau belum kalo abwa member card coffee shop mana pun ke @YellowTruckCo dapet diskon 20%? https://t.co/yCH5XuIm97	kuliner
MalumRini	Rini Malum Tania	RT @atmprima: Flash Sale @LazadaID diskon besar-besaran untuk ratusan produk keren! Praktis lagi bayarnya di ATM BCA #tipsPRIMA	lain-lain
denyjackrose	Deny Jackrose	Diskon 90% untuk Semua Produk di https://t.co/VjrW8xvdUK ambil kupon disini https://t.co/uYRRKfNjRm	lain-lain
AlqolamID	Al Qolam Official	daftar sebagai reseller kami https://t.co/36iYgWgAib dapatkan diskon 10% untuk semua produk dimulai dari pembelian pertama!!	
ozradiobandung	OZ RADIO 103.1 FM	Download & Register @Uber_IDN SEKARANG! Dapatkan diskon 50% di perjalanan pertama! Gunakan kode promo: OZRADIOBDG https://t.co/nOtrJoD24Y	travel
_vrggt_	ALGK	RT @TCASH_ID: Gimana hari Senin kamu? Ngopi dulu yuk! #pakeTCASH kamu di Coffee Bean buat dapetin diskon 50% setiap Senin. https://t.co/Eusâ€¦	kuliner
LadyZwolf	Twelvi Febrina	"Banyak temen yg ga percaya gue masih belanja di pasar, tapi gue masih belanja di pasar. Kramatjati atau Senen. Naik Gojek. Pake Gopay diskon"	
SomiJeonq	Somi	ADA DISKON 70%!!! somi be likeðŸ‘‡ðŸ‘‡ðŸ‘‡ https://t.co/EANXXJj3Fs	lain-lain
theo_dome	DON'T ONANI	Silahkan masih anget cimol dan kentang goreng buat anak koruptor diskon 50 % @ Apartemen Cityâ€¦ https://t.co/yi5xKsKMYQ	
FoodCentrumID	FoodCentrum	yang Masihh bisa di PESAN kesayangannnn semua ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜˜ðŸ˜˜ðŸ˜˜ðŸ˜˜ðŸ’“ðŸ’“ðŸ’“ðŸ’•ðŸ’•ðŸ’•ðŸ’•ðŸ’•ðŸ’• Beli Banyakk DISKON lohhhh ðŸ’‹ðŸ’‹ðŸ’‹ Bnayak Bonusssss jugaa ðŸ˜—ðŸ˜—ðŸ˜—	kuliner
cellworldbali	Cellular World	Big Surprise Special Black Friday Promo Hanya di Cellular World tgl 25-27 November 2016. . Diskon up to 50%... https://t.co/rHNN7UUDlx	elektronik
GilaPromoDotCom	GilaPromo	#diskon Jakmall Promo Sprint Harbolnas - Gebrakan Diskon + Harga Special https://t.co/i9Q69ktWlJ	
littlesushiya	little sushiya	"RT @sushi_ya: Sushi Gangs, tinggal 9 hari lagi loh promo Student ID Discount! Jangan lupa ya siapkan student ID kamu dan dapetin diskon 15%â€¦"	kuliner
Citra_Gran	CitraGran	KAVLING BLOK AA07/51 LUAS TANAH 212METER DISKON 20% @ CitraGran Cibubur. Kavling Siap Huni Investasi Sekarang.... https://t.co/ZRTRQ3ACKY	properti
katalogpromosi	katalogpromosi	"https://t.co/uI1ctnpOJr Promo Disc Hotel 30%, Tix Pesawat s/d Rp.100.000 & Tix Kereta Api Rp.25.000 dgn CC OCBC NISP https://t.co/ej81ttj4XZ"	wisata
babyzaniaID	Babyzania.com	Diskon 35% untuk pembelian Baby Parcel Cribcot. Harga mulai dari Rp 427.700. Cek selengkapnya diâ€¦ https://t.co/vLr3Z5TeMl	rumah tangga
oshoptv	OSHOP TV	YEAR END SALE! Kapan lagi Bunda bisa beli produk-produk berkualitas dengan diskon hingga 73%+23%? #YESOSHOPâ€¦ https://t.co/JrgKYG9TwJ	rumah tangga
LawsonIndonesia	Lawson Indonesia	Mau ngemil? waktunya memilih varian Oden kesukaan kamu di Lawson. ^^ Karena khusus bulan ini ada Diskon Rp 2.000 diâ€¦ https://t.co/GLQmHlqMUD	kuliner
rumahmadani	Rumah Madani	"Diskon 10% Gamis Syar'i Folia Terbaru Didesain khusus sesuai dengan kebutuhan muslimah, tetap nyaman dan sesuai... https://t.co/DwJ3ebEzly"	fashion
blanjacom	blanja.com	"Khusus pemegang Debit BTN Online, dapatkan DISKON 25% ALL PRODUCT! Masukkan kode BTN25 di sini >>â€¦ https://t.co/WqI9ffQNQ3"	lain-lain
atmprima	Jaringan ATM PRIMA	Flash Sale @LazadaID diskon besar-besaran untuk ratusan produk keren! Praktis lagi bayarnya di ATM BCA #tipsPRIMA	lain-lain
hardrockfmbdg	87.7 HardRock FM Bdg	"Mau Domain, Hosting, Cloud VPS, atau Dedicated Server? Di @Qwordsdotcom semuanya DISKON! Pesan sekarangâ€¦ https://t.co/j3MlcAaMtd"	lain-lain
naskarwiro	NasiBakarWirobrajan	DISKON 20% untuk kalian semua jam 11.00-17.00 Tanpa syarat apapun :) https://t.co/q09pZEZzp4	kuliner
LazadaID	Lazada.co.id	Dapatkan berbagai perlengkapan dapur dari Oxone dengan diskon hingga 70% di #LazadaID https://t.co/p0v9sKmAUXâ€¦ https://t.co/tPtV2IERUu	rumah tangga
