@relation C__Users_Tifani_Documents_GitHub_ekstraksi-diskon_EkstraksiDiskon_data_processed_diskon

@attribute text string
@attribute @@class@@ {tidak,ya}

@data
'masiponk,masiponk,tv kabel kompetitor masuk rumah murah pindah operator diskon ',tidak
'masiponk,masiponk,tv kabel kompetitor masuk rumah murah pindah operator diskon ',tidak
'masiponk,masiponk,tv kabel kompetitor masuk rumah murah pindah operator diskon ',tidak
'maknae,jeon joko,xoluvtiffanya diskon tante ',tidak
'maknae,jeon joko,xoluvtiffanya diskon tante ',tidak
'maknae,jeon joko,xoluvtiffanya diskon tante ',tidak
'CISCbanjarmasin,CISC Banjarmasin,jual beli serang pakai diskon ',tidak
'CISCbanjarmasin,CISC Banjarmasin,jual beli serang pakai diskon ',tidak
'CISCbanjarmasin,CISC Banjarmasin,jual beli serang pakai diskon ',tidak
'mooienterprise,Mooi Net,cod beli voucher game online murah diskon khusus daerah jabodetabek iya ',tidak
'mooienterprise,Mooi Net,cod beli voucher game online murah diskon khusus daerah jabodetabek iya ',tidak
'mooienterprise,Mooi Net,cod beli voucher game online murah diskon khusus daerah jabodetabek iya ',tidak
'Leejall,oko,rt vaingloryid kendali harga rt beritahu teman tingkat diskon black friday vainglory https ',tidak
'Leejall,oko,rt vaingloryid kendali harga rt beritahu teman tingkat diskon black friday vainglory https ',tidak
'Leejall,oko,rt vaingloryid kendali harga rt beritahu teman tingkat diskon black friday vainglory https ',tidak
'srningsih,SRI,diskon rasa tutup ',tidak
'srningsih,SRI,diskon rasa tutup ',tidak
'srningsih,SRI,diskon rasa tutup ',tidak
'srningsih,SRI,diskon ',tidak
'srningsih,SRI,diskon ',tidak
'srningsih,SRI,diskon ',tidak
'minatozakiesana,a SANA,tuescbelle diskon ',tidak
'minatozakiesana,a SANA,tuescbelle diskon ',tidak
'minatozakiesana,a SANA,tuescbelle diskon ',tidak
'GRANDEMUSIK,IG GRANDEMUSIK,rt promommc diskon khusus beli ampli laneyampsid booth planetmusikoff bekasimusik grandemusik eve ',tidak
'GRANDEMUSIK,IG GRANDEMUSIK,rt promommc diskon khusus beli ampli laneyampsid booth planetmusikoff bekasimusik grandemusik eve ',tidak
'GRANDEMUSIK,IG GRANDEMUSIK,rt promommc diskon khusus beli ampli laneyampsid booth planetmusikoff bekasimusik grandemusik eve ',tidak
'GRINDKORU,oms oms,githapewe timhuruhara wkopicorner meuli diskon ayena sok tawa ',tidak
'GRINDKORU,oms oms,githapewe timhuruhara wkopicorner meuli diskon ayena sok tawa ',tidak
'GRINDKORU,oms oms,githapewe timhuruhara wkopicorner meuli diskon ayena sok tawa ',tidak
'eunhabell,i nha,iya om promo diskon transaksi hehee _url_ ',tidak
'eunhabell,i nha,iya om promo diskon transaksi hehee _url_ ',tidak
'eunhabell,i nha,iya om promo diskon transaksi hehee _url_ ',tidak
'fariedibbrahim,Om Parid ,diskon g mbak g dis g g ko jwbnya g melulu si mbak hbs jalan sm sih kisahkasir ',tidak
'fariedibbrahim,Om Parid ,diskon g mbak g dis g g ko jwbnya g melulu si mbak hbs jalan sm sih kisahkasir ',tidak
'fariedibbrahim,Om Parid ,diskon g mbak g dis g g ko jwbnya g melulu si mbak hbs jalan sm sih kisahkasir ',tidak
'syahwillianna,NO NAME,tah bud madeup sateh beli buru mumpug diskon budif rmansyah bud firmansyah _url_ ',tidak
'syahwillianna,NO NAME,tah bud madeup sateh beli buru mumpug diskon budif rmansyah bud firmansyah _url_ ',tidak
'syahwillianna,NO NAME,tah bud madeup sateh beli buru mumpug diskon budif rmansyah bud firmansyah _url_ ',tidak
'lagniaeppe,Myoui Mina AA,mahal banget oppa diskon _url_ ',tidak
'lagniaeppe,Myoui Mina AA,mahal banget oppa diskon _url_ ',tidak
'lagniaeppe,Myoui Mina AA,mahal banget oppa diskon _url_ ',tidak
'mediacenterpb,PBPGRI,_url_ ',tidak
'mediacenterpb,PBPGRI,_url_ ',tidak
'mediacenterpb,PBPGRI,_url_ ',tidak
'Iqbaeldiafakhri,el,endiraaptr gratis diskon ',tidak
'Iqbaeldiafakhri,el,endiraaptr gratis diskon ',tidak
'Iqbaeldiafakhri,el,endiraaptr gratis diskon ',tidak
'endiraaptr,end,iqbaeldiafakhri private inggris sn bang sm diskon ',tidak
'endiraaptr,end,iqbaeldiafakhri private inggris sn bang sm diskon ',tidak
'endiraaptr,end,iqbaeldiafakhri private inggris sn bang sm diskon ',tidak
'Ahmmmm,A P R I A N S,diskon iya hak dong kalau diskon tidak apaapa yang bayar sesuai tari _url_ ',tidak
'Ahmmmm,A P R I A N S,diskon iya hak dong kalau diskon tidak apaapa yang bayar sesuai tari _url_ ',tidak
'Ahmmmm,A P R I A N S,diskon iya hak dong kalau diskon tidak apaapa yang bayar sesuai tari _url_ ',tidak
'FransiskanesKUH,ie ii,mytapradita uwe suda kaks althea cc ngana diskon laneige ',tidak
'FransiskanesKUH,ie ii,mytapradita uwe suda kaks althea cc ngana diskon laneige ',tidak
'FransiskanesKUH,ie ii,mytapradita uwe suda kaks althea cc ngana diskon laneige ',tidak
'mytapradita,MYTA,fransiskaneskuh bilang althea diskon barang kena ongkos kirim korea eook ',tidak
'mytapradita,MYTA,fransiskaneskuh bilang althea diskon barang kena ongkos kirim korea eook ',tidak
'mytapradita,MYTA,fransiskaneskuh bilang althea diskon barang kena ongkos kirim korea eook ',tidak
'DirtyJulian,disty julian,buku pikir roman i was wrong orang daya imajinasi sinting beli gih lagi diskon gramed ',tidak
'DirtyJulian,disty julian,buku pikir roman i was wrong orang daya imajinasi sinting beli gih lagi diskon gramed ',tidak
'DirtyJulian,disty julian,buku pikir roman i was wrong orang daya imajinasi sinting beli gih lagi diskon gramed ',tidak
'taetaeyss,eii,ftislchoi ha  iya cantik  kasih diskon cantik  kamu kamu do aegyo _url_ ',tidak
'taetaeyss,eii,ftislchoi ha  iya cantik  kasih diskon cantik  kamu kamu do aegyo _url_ ',tidak
'taetaeyss,eii,ftislchoi ha  iya cantik  kasih diskon cantik  kamu kamu do aegyo _url_ ',tidak
'wildanyahuza,wey,lanaanajma zeanelhamasbai opo mangan diskon ayo budalkan ',tidak
'wildanyahuza,wey,lanaanajma zeanelhamasbai opo mangan diskon ayo budalkan ',tidak
'wildanyahuza,wey,lanaanajma zeanelhamasbai opo mangan diskon ayo budalkan ',tidak
'taetaeyss,eii,rt ftislchoi taetaeyss anjing nunna nyoba roman roman gtu ujung ujung diskon tawa do your aegyo maybe hell give us disco ',tidak
'taetaeyss,eii,rt ftislchoi taetaeyss anjing nunna nyoba roman roman gtu ujung ujung diskon tawa do your aegyo maybe hell give us disco ',tidak
'taetaeyss,eii,rt ftislchoi taetaeyss anjing nunna nyoba roman roman gtu ujung ujung diskon tawa do your aegyo maybe hell give us disco ',tidak
'AdaDiskon,AdaDiskoncom,cari arisan kumpul bareng teman cobain warung lombok _url_ ',tidak
'AdaDiskon,AdaDiskoncom,cari arisan kumpul bareng teman cobain warung lombok _url_ ',tidak
'AdaDiskon,AdaDiskoncom,cari arisan kumpul bareng teman cobain warung lombok _url_ ',tidak
'spininactreb,Faith Hemmings,rt mfitranurdiansi bilang bagus bilang sukses kasih diskon korbanodong korbanodong ',tidak
'spininactreb,Faith Hemmings,rt mfitranurdiansi bilang bagus bilang sukses kasih diskon korbanodong korbanodong ',tidak
'spininactreb,Faith Hemmings,rt mfitranurdiansi bilang bagus bilang sukses kasih diskon korbanodong korbanodong ',tidak
'xxseme,Seo In Guk,toutestnoir diskon uniqlo x theory ada bagus eh nama sale size l habis ',tidak
'xxseme,Seo In Guk,toutestnoir diskon uniqlo x theory ada bagus eh nama sale size l habis ',tidak
'xxseme,Seo In Guk,toutestnoir diskon uniqlo x theory ada bagus eh nama sale size l habis ',tidak
'fariz,KamiTetapAhokaKTA,rt tajaliarifja fariz lewinhery wahhabicc gustikenarok angelmaximilan moga diskon lumayan mas lewi or ',tidak
'fariz,KamiTetapAhokaKTA,rt tajaliarifja fariz lewinhery wahhabicc gustikenarok angelmaximilan moga diskon lumayan mas lewi or ',tidak
'fariz,KamiTetapAhokaKTA,rt tajaliarifja fariz lewinhery wahhabicc gustikenarok angelmaximilan moga diskon lumayan mas lewi or ',tidak
'efviel,efviel,uang mastercard visa belanja online murah diskon aman percaya check i  diskon ollshop shoping ',tidak
'efviel,efviel,uang mastercard visa belanja online murah diskon aman percaya check i  diskon ollshop shoping ',tidak
'efviel,efviel,uang mastercard visa belanja online murah diskon aman percaya check i  diskon ollshop shoping ',tidak
'RhyzkiaLee,Rhyzkia Rosyidd,bni biar informasi diskon belanja kartu debit bni tidak potong trdpt vitur vcn bni bnitaplus _url_ ',tidak
'RhyzkiaLee,Rhyzkia Rosyidd,bni biar informasi diskon belanja kartu debit bni tidak potong trdpt vitur vcn bni bnitaplus _url_ ',tidak
'RhyzkiaLee,Rhyzkia Rosyidd,bni biar informasi diskon belanja kartu debit bni tidak potong trdpt vitur vcn bni bnitaplus _url_ ',tidak
'andrirsd,andri kurniawan,rt rizalandri kesel puas beli sepatu blibli diskon sejutak ehtadi lihat planet sports harga sepatu ',tidak
'andrirsd,andri kurniawan,rt rizalandri kesel puas beli sepatu blibli diskon sejutak ehtadi lihat planet sports harga sepatu ',tidak
'andrirsd,andri kurniawan,rt rizalandri kesel puas beli sepatu blibli diskon sejutak ehtadi lihat planet sports harga sepatu ',tidak
'TRKjunhoe,Junhoe,jexnheejin bayar diskon deh ',tidak
'TRKjunhoe,Junhoe,jexnheejin bayar diskon deh ',tidak
'TRKjunhoe,Junhoe,jexnheejin bayar diskon deh ',tidak
'rezacurvanord,reza F tanjung,rt vaingloryid kendali harga rt beritahu teman tingkat diskon black friday vainglory https ',tidak
'rezacurvanord,reza F tanjung,rt vaingloryid kendali harga rt beritahu teman tingkat diskon black friday vainglory https ',tidak
