@relation C__Users_Tifani_Documents_GitHub_ekstraksi-diskon_EkstraksiDiskon_data_processed_kategori

@attribute text string
@attribute @@class@@ {elektronik,fashion,hiburan,kecantikan,kuliner,lain-lain,otomotif,'rumah tangga',wisata}

@data
'Carera,K R I S T I N,rt dinomarket new color _merk_elektronik_ galaxy edge diskon rp juta rasa mewah _merk_elektronik_ galaxy klik _url_ ',elektronik
'jehoptwt,Jehop,khanbinikon smartfrencare ifanuyaos promo diskon beli perangkat ag lte smartfren sesuai smsnya cek ketik lte kiri ',elektronik
'yutaandme,Sarah,dimplesjae yuta ty diskon beli iphone konter hp nya chenle ',elektronik
'ceramahid,ceramahmotivasicom,beli _url_ hp handphone xiaomi _merk_elektronik_ smartphone diskon discount murah _url_ ',elektronik
'Giladiskon,Giladiskon Indonesia,gadget electronic sale diskon informasi _url_ ',elektronik
'Giladiskon,Giladiskon Indonesia,camera fotografi lover gebyar diskon informasi _url_ ',elektronik
'DINOMARKET,DINOMARKETcom,new color _merk_elektronik_ galaxy edge diskon rp juta rasa mewah _merk_elektronik_ galaxy klik _url_ ',elektronik
'DINOMARKET,DINOMARKETcom,macbook diskon rps juta cicil rpjoo ribu bulan klik _url_ dinomarket _url_ ',elektronik
'Giladiskon,Giladiskon Indonesia,xplor center promo spesial beli paket data gratis mifi _url_ diskon ',elektronik
'AisahWilly,IGaisahwilly,rt dinomarket hasil foto indah _merk_elektronik_ sale diskon juta klik _url_ dinomarket https t c ',elektronik
'PencintaDiskon,Para Pencari Diskon,rt gilapromodotcom diskon harman kardon akg headset great deal harga spesial rp _url_ ',elektronik
'GilaPromoDotCom,GilaPromo,diskon harman kardon akg headset great deal harga spesial rp _url_ ',elektronik
'GilaPromoDotCom,GilaPromo,diskon harman kardon akg headset great deal harga spesial rp _url_ ',elektronik
'GilaPromoDotCom,GilaPromo,diskon harman kardon akg headset great deal harga spesial rp _url_ ',elektronik
'Giladiskon,Giladiskon Indonesia,harman kardon akg headset great deal harga spesial rp _url_ diskon ',elektronik
'Giladiskon,Giladiskon Indonesia,super smartphones handphones _department_store_com diskon informasi _url_ ',elektronik
'Giladiskon,Giladiskon Indonesia,global teleshop promo gebyar cashback cashback rp _url_ diskon ',elektronik
'PencintaDiskon,Para Pencari Diskon,rt gilapromodotcom diskon erafone promo super harbolnas ekstra cashback _url_ ',elektronik
