id	username	name	created_at	lat	long	status	ya/tidak	kategori
8.01E+17	ridoman_silo	Alfrido Manihuruk	########	null	null	Dua Motor Sport Yamaha dapat Diskon Jelang Akhir Tahun https://t.co/V1qZQVIPal #Teamfollowback #FollowMe #11	ya	otomotif
8.01E+17	Giladiskon	Giladiskon Indonesia	########	null	null	"Peralatan Rumah & Dapur SUPER SALE, Diskon hingga 90%,Info--> https://t.co/rAzQGH6ucr"	ya	rumah tangga
8.01E+17	katalogpromosi	katalogpromosi	########	null	null	ETUDE House Diskon 20% All Items* dengan Kartu Kredit BCA https://t.co/hs9OsFSlRc	ya	kecantikan
8.01E+17	katalogpromosi	katalogpromosi	########	null	null	GARUDA INDONESIA Promo Diskon hingga 25% Kartu BRI berlaku sd. 15 Desember 2016 https://t.co/nDsA8nz62q	ya	travel
8.01E+17	efviel	efviel	########	null	null	Belanja online #murah #diskon aman dan terpercaya check it now https://t.co/3XnHHYvxzk ##diskon #ollshop #shoping	tidak	
8.01E+17	Facebook_Kita	Facebook Kita	########	null	null	https://t.co/6ql6c1FrBL Diskon Besar Honda Vario di Akhir Tahun: Besaran diskon bervariasiâ€¦ https://t.co/Txb1dhgm1X	ya	otomotif
8.01E+17	Facebook_Kita	Facebook Kita	########	null	null	"https://t.co/6ql6c1X30l Honda Motor Mulai Umbar Diskon Akhir Tahun: Semua Beat, pokoknyaâ€¦ https://t.co/Ten7BYJmkR"	ya	otomotif
8.01E+17	baracahya	bara cahya nugroho	########	null	null	Udah tau belum kalo abwa member card coffee shop mana pun ke @YellowTruckCo dapet diskon 20%? https://t.co/yCH5XuIm97	ya	kuliner
8.01E+17	MalumRini	Rini Malum Tania	########	null	null	RT @atmprima: Flash Sale @LazadaID diskon besar-besaran untuk ratusan produk keren! Praktis lagi bayarnya di ATM BCA #tipsPRIMA	ya	lain-lain
8.01E+17	denyjackrose	Deny Jackrose	########	null	null	Diskon 90% untuk Semua Produk di https://t.co/VjrW8xvdUK ambil kupon disini https://t.co/uYRRKfNjRm	ya	lain-lain
8.01E+17	AlqolamID	Al Qolam Official	########	null	null	daftar sebagai reseller kami https://t.co/36iYgWgAib dapatkan diskon 10% untuk semua produk dimulai dari pembelian pertama!!	tidak	
8.01E+17	ozradiobandung	OZ RADIO 103.1 FM	########	null	null	Download & Register @Uber_IDN SEKARANG! Dapatkan diskon 50% di perjalanan pertama! Gunakan kode promo: OZRADIOBDG https://t.co/nOtrJoD24Y	ya	travel
8.01E+17	_vrggt_	ALGK	########	null	null	RT @TCASH_ID: Gimana hari Senin kamu? Ngopi dulu yuk! #pakeTCASH kamu di Coffee Bean buat dapetin diskon 50% setiap Senin. https://t.co/Eusâ€¦	ya	kuliner
8.01E+17	LadyZwolf	Twelvi Febrina	########	null	null	"Banyak temen yg ga percaya gue masih belanja di pasar, tapi gue masih belanja di pasar. Kramatjati atau Senen. Naik Gojek. Pake Gopay diskon"	tidak	
8.01E+17	SomiJeonq	Somi	########	null	null	ADA DISKON 70%!!! somi be likeðŸ‘‡ðŸ‘‡ðŸ‘‡ https://t.co/EANXXJj3Fs	ya	lain-lain
8.01E+17	theo_dome	DON'T ONANI	########	-6.13086	106.7354	Silahkan masih anget cimol dan kentang goreng buat anak koruptor diskon 50 % @ Apartemen Cityâ€¦ https://t.co/yi5xKsKMYQ	tidak	
8.01E+17	FoodCentrumID	FoodCentrum	########	null	null	yang Masihh bisa di PESAN kesayangannnn semua ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜˜ðŸ˜˜ðŸ˜˜ðŸ˜˜ðŸ’“ðŸ’“ðŸ’“ðŸ’•ðŸ’•ðŸ’•ðŸ’•ðŸ’•ðŸ’• Beli Banyakk DISKON lohhhh ðŸ’‹ðŸ’‹ðŸ’‹ Bnayak Bonusssss jugaa ðŸ˜—ðŸ˜—ðŸ˜—	ya	kuliner
8.01E+17	cellworldbali	Cellular World	########	null	null	Big Surprise Special Black Friday Promo Hanya di Cellular World tgl 25-27 November 2016. . Diskon up to 50%... https://t.co/rHNN7UUDlx	ya	elektronik
8.01E+17	GilaPromoDotCom	GilaPromo	########	null	null	#diskon Jakmall Promo Sprint Harbolnas - Gebrakan Diskon + Harga Special https://t.co/i9Q69ktWlJ	tidak	
8.01E+17	littlesushiya	little sushiya	########	null	null	"RT @sushi_ya: Sushi Gangs, tinggal 9 hari lagi loh promo Student ID Discount! Jangan lupa ya siapkan student ID kamu dan dapetin diskon 15%â€¦"	ya	kuliner
8.01E+17	Citra_Gran	CitraGran	########	null	null	KAVLING BLOK AA07/51 LUAS TANAH 212METER DISKON 20% @ CitraGran Cibubur. Kavling Siap Huni Investasi Sekarang.... https://t.co/ZRTRQ3ACKY	ya	properti
8.01E+17	katalogpromosi	katalogpromosi	########	null	null	"https://t.co/uI1ctnpOJr Promo Disc Hotel 30%, Tix Pesawat s/d Rp.100.000 & Tix Kereta Api Rp.25.000 dgn CC OCBC NISP https://t.co/ej81ttj4XZ"	ya	wisata
8.01E+17	babyzaniaID	Babyzania.com	########	null	null	Diskon 35% untuk pembelian Baby Parcel Cribcot. Harga mulai dari Rp 427.700. Cek selengkapnya diâ€¦ https://t.co/vLr3Z5TeMl	ya	rumah tangga
8.01E+17	oshoptv	OSHOP TV	########	null	null	YEAR END SALE! Kapan lagi Bunda bisa beli produk-produk berkualitas dengan diskon hingga 73%+23%? #YESOSHOPâ€¦ https://t.co/JrgKYG9TwJ	ya	rumah tangga
8.01E+17	LawsonIndonesia	Lawson Indonesia	########	null	null	Mau ngemil? waktunya memilih varian Oden kesukaan kamu di Lawson. ^^ Karena khusus bulan ini ada Diskon Rp 2.000 diâ€¦ https://t.co/GLQmHlqMUD	ya	kuliner
8.01E+17	rumahmadani	Rumah Madani	########	null	null	"Diskon 10% Gamis Syar'i Folia Terbaru Didesain khusus sesuai dengan kebutuhan muslimah, tetap nyaman dan sesuai... https://t.co/DwJ3ebEzly"	ya	fashion
8.01E+17	blanjacom	blanja.com	########	null	null	"Khusus pemegang Debit BTN Online, dapatkan DISKON 25% ALL PRODUCT! Masukkan kode BTN25 di sini >>â€¦ https://t.co/WqI9ffQNQ3"	ya	lain-lain
8.01E+17	atmprima	Jaringan ATM PRIMA	########	null	null	Flash Sale @LazadaID diskon besar-besaran untuk ratusan produk keren! Praktis lagi bayarnya di ATM BCA #tipsPRIMA	ya	lain-lain
8.01E+17	hardrockfmbdg	87.7 HardRock FM Bdg	########	null	null	"Mau Domain, Hosting, Cloud VPS, atau Dedicated Server? Di @Qwordsdotcom semuanya DISKON! Pesan sekarangâ€¦ https://t.co/j3MlcAaMtd"	ya	lain-lain
8.01E+17	naskarwiro	NasiBakarWirobrajan	########	null	null	DISKON 20% untuk kalian semua jam 11.00-17.00 Tanpa syarat apapun :) https://t.co/q09pZEZzp4	ya	kuliner
8.01E+17	LazadaID	Lazada.co.id	########	null	null	Dapatkan berbagai perlengkapan dapur dari Oxone dengan diskon hingga 70% di #LazadaID https://t.co/p0v9sKmAUXâ€¦ https://t.co/tPtV2IERUu	ya	rumah tangga
8.01E+17	TCASH_ID	Telkomsel TCASH	########	null	null	Gimana hari Senin kamu? Ngopi dulu yuk! #pakeTCASH kamu di Coffee Bean buat dapetin diskon 50% setiap Senin. https://t.co/Eusvkuy8AT	ya	kuliner
8.01E+17	chamidiyah	chusnul chamidiyah	########	null	null	Hay hay hay.... Diskon GG hari terakhir yaaa Kapan lagi coba dapet diskon 20% dr GG tanpa minimal order???... https://t.co/1sBfnRhRWI	ya	lain-lain
