id	username	name	created_at	lat	long	status	ya/tidak	kategori
8.00643E+17	ridoman_silo	Alfrido Manihuruk	21/11/2016 17:11	null	null	Dua Motor Sport Yamaha dapat Diskon Jelang Akhir Tahun https://t.co/V1qZQVIPal #Teamfollowback #FollowMe #11		otomotif
8.00642E+17	Giladiskon	Giladiskon Indonesia	21/11/2016 17:10	null	null	"Peralatan Rumah & Dapur SUPER SALE, Diskon hingga 90%,Info--> https://t.co/rAzQGH6ucr"		rumah tangga
8.00642E+17	katalogpromosi	katalogpromosi	21/11/2016 17:10	null	null	ETUDE House Diskon 20% All Items* dengan Kartu Kredit BCA https://t.co/hs9OsFSlRc		kecantikan
8.00642E+17	katalogpromosi	katalogpromosi	21/11/2016 17:10	null	null	GARUDA INDONESIA Promo Diskon hingga 25% Kartu BRI berlaku sd. 15 Desember 2016 https://t.co/nDsA8nz62q		travel
8.00642E+17	efviel	efviel	21/11/2016 17:10	null	null	Belanja online #murah #diskon aman dan terpercaya check it now https://t.co/3XnHHYvxzk ##diskon #ollshop #shoping		
8.00642E+17	qurrotaayun88	Qurrota A'yun	21/11/2016 17:08	null	null	RT @YouthZone46: Diskon 10% khusus buku terbitan Kompas Gramedia dengan Kartu BNI #BNIPromo Info : https://t.co/JkNECWKDwG https://t.co/AGz…		buku
8.00642E+17	Facebook_Kita	Facebook Kita	21/11/2016 17:07	null	null	https://t.co/6ql6c1FrBL Diskon Besar Honda Vario di Akhir Tahun: Besaran diskon bervariasi… https://t.co/Txb1dhgm1X		otomotif
8.00642E+17	Facebook_Kita	Facebook Kita	21/11/2016 17:07	null	null	"https://t.co/6ql6c1X30l Honda Motor Mulai Umbar Diskon Akhir Tahun: Semua Beat, pokoknya… https://t.co/Ten7BYJmkR"		otomotif
8.00642E+17	baracahya	bara cahya nugroho	21/11/2016 17:06	null	null	Udah tau belum kalo abwa member card coffee shop mana pun ke @YellowTruckCo dapet diskon 20%? https://t.co/yCH5XuIm97		kuliner
8.00641E+17	MalumRini	Rini Malum Tania	21/11/2016 17:06	null	null	RT @atmprima: Flash Sale @LazadaID diskon besar-besaran untuk ratusan produk keren! Praktis lagi bayarnya di ATM BCA  #tipsPRIMA		
8.00641E+17	denyjackrose	Deny Jackrose	21/11/2016 17:05	null	null	Diskon 90% untuk Semua Produk di https://t.co/VjrW8xvdUK ambil kupon disini https://t.co/uYRRKfNjRm		
8.00641E+17	AlqolamID	Al Qolam Official	21/11/2016 17:05	null	null	daftar sebagai reseller kami https://t.co/36iYgWgAib dapatkan diskon 10% untuk semua produk dimulai dari pembelian pertama!!		
